timestamp,Basel Temperature [2 m elevation corrected]
20180207T0100,2.1005285
20180207T0200,1.2805287
20180207T0300,1.1305287
20180207T0400,0.81052864
20180207T0500,0.90052867
20180207T0600,0.90052867
20180207T0700,0.7605287
20180207T0800,1.6005287
20180207T0900,2.5605285
20180207T1000,3.2105286
20180207T1100,3.8005285
20180207T1200,2.9705286
20180207T1300,3.2105286
20180207T1400,3.4105287
20180207T1500,3.4205287
20180207T1600,2.8605285
20180207T1700,2.0705285
20180207T1800,1.3005286
20180207T1900,0.91052866
20180207T2000,1.0005287
20180207T2100,1.4005287
20180207T2200,1.6905286
20180207T2300,1.9705287
20180208T0000,1.7105286
20180208T0100,1.4305286
20180208T0200,1.4805287
20180208T0300,1.0005287
20180208T0400,-0.09947134
20180208T0500,-0.50947136
20180208T0600,-0.51947135
20180208T0700,-1.2794713
20180208T0800,-1.0494714
20180208T0900,0.60052866
20180208T1000,2.2805285
20180208T1100,3.6205285
20180208T1200,5.040529
20180208T1300,5.3205285
20180208T1400,5.4605284
20180208T1500,5.3905287
20180208T1600,5.1205287
20180208T1700,3.8305285
20180208T1800,2.6605287
20180208T1900,1.9405286
20180208T2000,1.7605287
20180208T2100,0.6405287
20180208T2200,0.20052865
20180208T2300,0.31052867
20180209T0000,0.91052866
20180209T0100,1.1805286
20180209T0200,0.74052864
20180209T0300,0.53052866
20180209T0400,0.9505287
20180209T0500,1.3805287
20180209T0600,1.2805287
20180209T0700,0.7105287
20180209T0800,2.0105286
20180209T0900,2.8505285
20180209T1000,3.7905285
20180209T1100,4.4005284
20180209T1200,4.6905284
20180209T1300,5.5805287
20180209T1400,5.8205285
20180209T1500,5.8805285
20180209T1600,5.3305287
20180209T1700,4.3205285
20180209T1800,3.2305286
20180209T1900,2.6905286
20180209T2000,2.6505284
20180209T2100,2.3305285
20180209T2200,1.3505287
20180209T2300,1.0705286
20180210T0000,1.5605286
20180210T0100,2.0205286
20180210T0200,1.7205287
20180210T0300,1.1105287
20180210T0400,0.73052865
20180210T0500,0.97052866
20180210T0600,0.59052867
20180210T0700,-0.47947133
20180210T0800,0.18052867
20180210T0900,1.7905287
20180210T1000,2.6905286
20180210T1100,3.4605286
20180210T1200,4.4905286
20180210T1300,4.9905286
20180210T1400,5.1005287
20180210T1500,5.0005283
20180210T1600,4.5605288
20180210T1700,3.3605285
20180210T1800,2.4205287
20180210T1900,1.8105286
20180210T2000,1.4505286
20180210T2100,1.1505287
20180210T2200,0.67052865
20180210T2300,0.30052868
20180211T0000,0.16052866
20180211T0100,-0.009471342
20180211T0200,-0.16947135
20180211T0300,0.33052868
20180211T0400,0.7705287
20180211T0500,1.2205287
20180211T0600,1.7305287
20180211T0700,1.9705287
20180211T0800,2.8305285
20180211T0900,3.6105285
20180211T1000,3.9505286
20180211T1100,5.2005286
20180211T1200,6.6605287
20180211T1300,6.2405286
20180211T1400,5.8205285
20180211T1500,5.2405286
20180211T1600,4.7305284
20180211T1700,4.4205284
20180211T1800,4.4705286
20180211T1900,4.1405287
20180211T2000,4.000529
20180211T2100,3.9905286
20180211T2200,4.0505285
20180211T2300,3.5905285
20180212T0000,2.4005284
20180212T0100,1.7705287
20180212T0200,1.7305287
20180212T0300,1.7005286
20180212T0400,1.6705287
20180212T0500,1.5205287
20180212T0600,1.6605287
20180212T0700,0.31052867
20180212T0800,1.1805286
20180212T0900,1.9405286
20180212T1000,2.1805286
20180212T1100,2.4705286
20180212T1200,2.9205287
20180212T1300,2.9505286
20180212T1400,3.0105286
20180212T1500,2.9605286
20180212T1600,2.8605285
20180212T1700,1.7905287
20180212T1800,0.54052866
20180212T1900,0.10052866
20180212T2000,0.070528656
20180212T2100,-0.26947135
20180212T2200,0.27052864
20180212T2300,0.97052866
20180213T0000,1.0705286
20180213T0100,0.48052865
20180213T0200,-0.039471343
20180213T0300,-0.5594713
20180213T0400,-0.43947133
20180213T0500,-0.16947135
20180213T0600,-1.6194713
20180213T0700,-1.4794713
20180213T0800,-0.07947134
20180213T0900,2.0605285
20180213T1000,3.0105286
20180213T1100,3.3905284
20180213T1200,3.5905285
20180213T1300,4.4005284
20180213T1400,4.7705283
20180213T1500,4.7505283
20180213T1600,4.2305284
20180213T1700,2.7705286
20180213T1800,0.7605287
20180213T1900,-0.5594713
20180213T2000,-0.94947135
20180213T2100,-1.0294713
20180213T2200,-0.94947135
20180213T2300,-0.45947134
20180214T0000,-0.19947135
20180214T0100,-0.14947134
20180214T0200,-0.62947136
20180214T0300,-0.9294713
20180214T0400,-1.1594714
20180214T0500,-1.4094714
20180214T0600,-1.6194713
20180214T0700,-1.8194714
20180214T0800,-0.26947135
20180214T0900,1.2905287
20180214T1000,2.6805286
20180214T1100,3.7305286
20180214T1200,4.6105285
20180214T1300,5.4105287
20180214T1400,6.0205283
20180214T1500,6.2805285
20180214T1600,6.0205283
20180214T1700,4.6005287
20180214T1800,3.0705285
20180214T1900,1.6005287
20180214T2000,0.6405287
20180214T2100,0.37052867
20180214T2200,0.34052867
20180214T2300,0.42052865
